instance,period,timestamp,instance_name,rules,user_count,note
mastodon.gamedev.place,jan-feb2023,20240103092320,Gamedev Mastodon,"[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting""}, {""id"": ""2"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism""}, {""id"": ""3"", ""text"": ""No incitement of violence or promotion of violent ideologies""}, {""id"": ""4"", ""text"": ""No harassment, dogpiling or doxxing of other users""}, {""id"": ""5"", ""text"": ""No content illegal in EU""}, {""id"": ""6"", ""text"": ""Do not share intentionally false or misleading information""}]",30276,available-blue-dot
social.treehouse.systems,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
social.mikutter.hachune.net,jan-feb2023,20221020153255,mikutter,"[{""id"": ""1"", ""text"": ""えあい""}, {""id"": ""2"", ""text"": ""みたらしだんご""}, {""id"": ""3"", ""text"": ""kb10uy""}]",420,available-blue-dot
mastodon.math.unipd.it,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
journa.host,jan-feb2023,20230624145043,Mastodon,"[{""id"": ""9"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting.""}, {""id"": ""10"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, antisemitism, or casteism.""}, {""id"": ""11"", ""text"": ""No incitement of violence or promotion of violent ideologies.""}, {""id"": ""12"", ""text"": ""No harassment of or dogpiling other users.""}, {""id"": ""13"", ""text"": ""Do not share intentionally false or misleading information.""}, {""id"": ""14"", ""text"": ""This is a server for journalists. If you are not a journalist, please look to one of the many other servers that exist. There are HUNDREDS you can find: https://joinmastodon.org/servers or https://instances.social/.""}, {""id"": ""16"", ""text"": ""No ad hominem attacks. Don’t discredit someone because of who they are. ""}, {""id"": ""17"", ""text"": ""Do not propagate misinformation or disinformation. ""}, {""id"": ""19"", ""text"": ""Don’t harass anyone, especially the moderators. Harassment can be difficult to define fully, but any sort of slurs or prejudicial comments based on identity will be removed. Repeated harassment will prompt a suspension.""}, {""id"": ""20"", ""text"": ""Do not encourage violence, either implicitly or explicitly.""}, {""id"": ""21"", ""text"": ""Hate speech is not tolerated. This includes racism, misogyny, transphobia, homophobia and religious intolerance such as anti-semitism. This list is illustrative but not exhaustive. ""}]",3003,available-blue-dot
kommentakerfid.is,jan-feb2023,20240919145213,Kommentakerfið - Vertu virkur!,"[{""id"": ""1"", ""text"": ""Enginn hatursáróður\r\n\r\nÞað er bannað að vera með eða endurbirta hatursáróður. Dæmi: rasismi, transfóbía""}, {""id"": ""2"", ""text"": ""Innihaldsviðvörun (CW) á nekt\r\n\r\nSetjið innihaldsviðvörun á nekt. Auðvitað geta verið undantekningar þannig að þið notið dómgreindina.""}, {""id"": ""3"", ""text"": ""Crypto (Bitcoin, NFT og þess háttar)\r\n\r\nFarið varlega þegar þið deilið efni sem fjallar um Crypto af því það er mikið um vafasamar fullyrðingar og tilboð.""}, {""id"": ""4"", ""text"": ""Ofbeldi og fólk í neyð\r\n\r\nNotið innihaldsviðvaranir á efni sem inniheldur ofbeldi. Ekki deila myndum af fólki í neyð ef líkur eru á því að það vilji ekki að slíkt efni fari í dreifingu.""}, {""id"": ""5"", ""text"": ""Engar falsfréttir\r\n\r\nEkki deila tenglum á falsfréttamiðla (þó allir geri stundum mistök í að meta slíkt).""}, {""id"": ""6"", ""text"": ""Breytingar á færslum\r\n\r\nÞað er mögulegt að breyta færslum á Mastodon. Vinsamlegast farið varlega í að breyta færslum sem þegar eru komnar í dreifingu (og búnar að fá endurbirtingar). Sumsé, ekki breyta færslum á villandi hátt þannig að meining þeirra breytist.""}]",20,available-blue-dot
pixelfed.fr,jan-feb2023,20250710073801,Pixelfed,"[{""id"": ""1"", ""text"": ""Pas de diffusion des idées d’extrême droite""}, {""id"": ""2"", ""text"": ""Pas de racisme""}, {""id"": ""3"", ""text"": ""Pas de xénophobie en général""}, {""id"": ""4"", ""text"": ""Pas de confusionnisme""}, {""id"": ""5"", ""text"": ""Utilisation du CW pour la nudité ou la pornographie""}, {""id"": ""6"", ""text"": ""Pas de spam""}, {""id"": ""7"", ""text"": ""Principalement francophone""}, {""id"": ""8"", ""text"": ""Discussions dans le respect des autres utilisateurs""}, {""id"": ""9"", ""text"": ""Pas d'intelligence artificielle""}]",11707,available-blue-dot
veganism.social,jan-feb2023,,,null,,no valid snapshot Jan-Feb 2023
podcastindex.social,jan-feb2023,20230117140452,PodcastIndex Social,"[{""id"": ""1"", ""text"": ""Not for promotion of podcasts. ""}]",1299,cdx-window
mastodon.coffee,jan-feb2023,20221123113406,Mastodon ☕,"[{""id"": ""1"", ""text"": ""Sexually explicit or violent media must be marked as sensitive when posting.""}, {""id"": ""2"", ""text"": ""No spam or advertising.""}, {""id"": ""3"", ""text"": ""No racism, sexism, homophobia, transphobia, xenophobia, or casteism.""}, {""id"": ""4"", ""text"": ""No incitement of violence or promotion of violent ideologies.""}, {""id"": ""5"", ""text"": ""No harassment, dogpiling or doxxing of other users.""}, {""id"": ""6"", ""text"": ""No illegal content.""}, {""id"": ""7"", ""text"": ""Drink coffee! (not required)""}]",1422,available-blue-dot
