,Instance Id,Instance Name,Is Dead,User Count,instance_group,rule count
11457,5b4538d2fa6236722f762602,friendica.philipp.info,FALSE,5,1 to 5,0
11458,63aebf740deb83e20ad828c1,social.ionazun.net,FALSE,1,1 to 5,0
11459,665810a2296448eb3fcd6823,freak.social,FALSE,2,1 to 5,0
11460,64c3baa837b55e198624911f,mastodon.ptolemaios.fr,FALSE,2,1 to 5,0
11461,637b3344d94dca7f11e7c1fb,mastodon.dcreager.net,FALSE,1,1 to 5,0
11462,64fe8c4046c6ca8730001db1,mastodon.musicstudio.pro,FALSE,2,1 to 5,0
11463,5b786efd8ec14f538470593d,deadinsi.de,FALSE,561,501 to 1500,5
11464,637b27b0ad72ace2dcf17d9a,m.pupu.moe,FALSE,11,6 to 15,0
11465,63be2bba4d3f88a4e8a64a5e,abraham.social,FALSE,2,1 to 5,2
11466,647019c217d3d0bd2de913ba,glassrivermedia.me,FALSE,4,1 to 5,0
11467,6421596c5bc1b1b8f867ce16,mastodon.gurney.dev,FALSE,1,1 to 5,0
11468,638b9410b067d70817326346,metro.social,FALSE,1,1 to 5,0
11469,63b5c67dfdbd8c8b989e0fde,geeklife.com,FALSE,5,1 to 5,0
11470,637b300ad94dca7f11e7b68d,social.hutch.chat,FALSE,1,1 to 5,1
11471,637b1b9abaf9cf97b71f2d18,sculpin.social,FALSE,4,1 to 5,0
11472,63856dc24dfbaf8699813083,mastodon.haojia-wu.com,FALSE,4,1 to 5,6
11473,6175257e482824006ec0ff0d,social.main-angler.de,FALSE,9,6 to 15,5
11474,637b319ed94dca7f11e7bcce,social.prepedia.org,FALSE,413,151 to 500,0
11475,637b272dad72ace2dcf17be1,cubhub.social,FALSE,2392,1501 to 5000,15
11476,64ccb397e976cabe58812b4a,lab.nyanide.com,FALSE,67,51 to 150,18
11477,5ab1bf31056e5f65f16961cb,blimps.xyz,FALSE,605,501 to 1500,7
11478,64a123fc558f3f71f7600a14,gts.7colou.red,FALSE,2,1 to 5,0
11479,63b3c1609e7b2e5c253ad6cd,mastsocial.de,FALSE,5,1 to 5,2
11480,637b2d31d94dca7f11e7ab11,friends.johalla.org,FALSE,2,1 to 5,0
11481,64a3699476927ecf567c83dd,rickyleong.me,FALSE,2,1 to 5,0
11482,58e64e285002cc7716dd4000,mastodon.me.uk,FALSE,2582,1501 to 5000,3
11483,637b266cad72ace2dcf178a7,pixelfed.mrpetovan.com,FALSE,10,6 to 15,0
11484,637b249aad72ace2dcf17026,social.afontaine.dev,FALSE,1,1 to 5,18
11485,637b2ff4d94dca7f11e7b637,videochina.net,FALSE,22,16 to 50,5
11486,637b2cd5d94dca7f11e7a9a5,toot.dianaband.info,FALSE,9,6 to 15,18
11487,637b1aafbaf9cf97b71f290c,rebel.ar,FALSE,593,501 to 1500,4
11488,65554ef7cba24e6f22069f0d,foto.libre.bzh,FALSE,8,6 to 15,6
11489,63d7bc6b842c7abf3635941d,vivatucson.net,FALSE,2,1 to 5,2
11490,65a1f26372aba03a13061407,halfon.me,FALSE,4,1 to 5,0
11491,637afefe020bc43c40e210a4,herd.bovid.space,FALSE,6,6 to 15,1
11492,63e73e2a739e311090e184ff,trek3.io,FALSE,3,1 to 5,0
11493,638836e108a4124480c6082b,social.datarek.nl,FALSE,3,1 to 5,1
11494,63a0ed266080d3d8c9c36aee,pleroma.xeno.darksair.org,FALSE,1,1 to 5,18
11495,637b1bd8baf9cf97b71f2e22,pleroma.shakalaka.club,FALSE,1,1 to 5,18
11496,6385f67e7d7a95eb288d0175,social.therestartproject.org,FALSE,2,1 to 5,0
11497,638ce5143797e4a844fe3611,mastodon.dragonbox.de,FALSE,13,6 to 15,2
11498,637b302bd94dca7f11e7b6ff,6510.nu,FALSE,2,1 to 5,3
11499,63e7300eca6bf10df7a50128,bloomfield.social,FALSE,4,1 to 5,1
11500,63ce10d593c5406535ade1b5,bms.social,FALSE,53,51 to 150,3
11501,64b87a78a10a02415892f340,mastodon.stellarspace.net,FALSE,1,1 to 5,0
11502,637b2c65d94dca7f11e7a7b2,mastodon.delta-t.work,FALSE,5,1 to 5,0
11503,637b248ead72ace2dcf16fea,updog.no,FALSE,1,1 to 5,0
11504,63814a3665280556cee0c22d,thecooltable.wtf,FALSE,41,16 to 50,4
11505,66064c6d5c1ac598921b0570,thueringen.social,FALSE,1,1 to 5,0
11506,637b53ba72f347d8eae19c2f,mn.drunu.be,FALSE,1,1 to 5,1
11507,637b2ecad94dca7f11e7b144,social.tnhh.org,FALSE,2,1 to 5,18
11508,667a48ff44fbc5a4d38bb785,mastodon.knightpp.cc,FALSE,5,1 to 5,1
11509,637b3178d94dca7f11e7bc3d,pl.m0e.space,FALSE,56,51 to 150,18
